campaign_id,date,time,timezone,utc_datetime,advertiser_id,campaign_name,budget,advertiser_name
99870,01/11/2018,00:01:00,UTC,2018-11-01 00:01:00,11354,Christmas cheer,15000,Coco Cola
99870,06/11/2018,15:07:00,Eastern time,2018-11-06 10:07:00,11354,Christmas cheer,15000,Coco Cola
99870,05/11/2018,22:37:00,Eastern time,2018-11-05 17:37:00,11354,Christmas cheer,15000,Coco Cola
99870,03/11/2018,11:34:00,Eastern time,2018-11-03 06:34:00,11354,Christmas cheer,15000,Coco Cola
99870,05/11/2018,04:09:00,Eastern time,2018-11-04 23:09:00,11354,Christmas cheer,15000,Coco Cola
99870,02/11/2018,16:55:00,Eastern time,2018-11-02 11:55:00,11354,Christmas cheer,15000,Coco Cola
99870,06/11/2018,21:30:00,Pacific time,2018-11-06 13:30:00,11354,Christmas cheer,15000,Coco Cola
56444,03/11/2018,06:56:00,Pacific time,2018-11-02 22:56:00,73453,Run of network,1000,Ninetendo
56444,03/11/2018,06:10:00,Pacific time,2018-11-02 22:10:00,73453,Run of network,1000,Ninetendo
56444,05/11/2018,12:58:00,Pacific time,2018-11-05 04:58:00,73453,Run of network,1000,Ninetendo
56444,02/11/2018,23:39:00,Pacific time,2018-11-02 15:39:00,73453,Run of network,1000,Ninetendo
56444,02/11/2018,21:36:00,Pacific time,2018-11-02 13:36:00,73453,Run of network,1000,Ninetendo
56444,03/11/2018,08:40:00,Pacific time,2018-11-03 00:40:00,73453,Run of network,1000,Ninetendo
56444,02/11/2018,05:45:00,Pacific time,2018-11-01 21:45:00,73453,Run of network,1000,Ninetendo
56444,04/11/2018,07:46:00,Pacific time,2018-11-03 23:46:00,73453,Run of network,1000,Ninetendo
56444,04/11/2018,14:19:00,Pacific time,2018-11-04 06:19:00,73453,Run of network,1000,Ninetendo
56444,03/11/2018,19:43:00,Pacific time,2018-11-03 11:43:00,73453,Run of network,1000,Ninetendo
56444,04/11/2018,23:31:00,Pacific time,2018-11-04 15:31:00,73453,Run of network,1000,Ninetendo
56444,03/11/2018,00:57:00,Pacific time,2018-11-02 16:57:00,73453,Run of network,1000,Ninetendo
56444,03/11/2018,08:13:00,Eastern time,2018-11-03 03:13:00,73453,Run of network,1000,Ninetendo
55112,02/11/2018,02:05:00,Eastern time,2018-11-01 21:05:00,34523,Q4 performance,250000,Lever Brows
55112,04/11/2018,02:52:00,Eastern time,2018-11-03 21:52:00,34523,Q4 performance,250000,Lever Brows
55112,05/11/2018,18:34:00,Eastern time,2018-11-05 13:34:00,34523,Q4 performance,250000,Lever Brows
55112,04/11/2018,03:29:00,Eastern time,2018-11-03 22:29:00,34523,Q4 performance,250000,Lever Brows
55112,03/11/2018,01:57:00,Eastern time,2018-11-02 20:57:00,34523,Q4 performance,250000,Lever Brows
55112,05/11/2018,16:52:00,UTC,2018-11-05 16:52:00,34523,Q4 performance,250000,Lever Brows
55112,05/11/2018,13:38:00,UTC,2018-11-05 13:38:00,34523,Q4 performance,250000,Lever Brows
55112,03/11/2018,06:31:00,UTC,2018-11-03 06:31:00,34523,Q4 performance,250000,Lever Brows
55112,05/11/2018,19:31:00,UTC,2018-11-05 19:31:00,34523,Q4 performance,250000,Lever Brows
55112,04/11/2018,20:08:00,UTC,2018-11-04 20:08:00,34523,Q4 performance,250000,Lever Brows
13354,05/11/2018,12:47:00,UTC,2018-11-05 12:47:00,11354,Run of network,9000,Coco Cola
13354,04/11/2018,20:17:00,UTC,2018-11-04 20:17:00,11354,Run of network,9000,Coco Cola
13354,03/11/2018,11:26:00,Eastern time,2018-11-03 06:26:00,11354,Run of network,9000,Coco Cola
13354,03/11/2018,20:38:00,Eastern time,2018-11-03 15:38:00,11354,Run of network,9000,Coco Cola
